star_name,x,y,star_colour,star_type,object_name,world_type,tectonics,weather,temp,bio,total_ru,dist_to_parent_star,common,corrosive,base_metal,noble,rare_earth,precious,radioactive,exotic
Gamma Gorno,293.9,11.6,orange,dwarf,III,Copper World,2,1,-212,0,624,3718,0,0,624,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,IV,Chlorine World,6,0,-223,0,306,5614,13,236,57,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,IVa,Acid World,3,0,-223,0,175,5614,175,0,0,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,V,Green World,4,1,-227,0,330,6478,0,0,0,0,330,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,I,Copper World,1,2,66,228,366,1076,0,0,366,0,0,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,II,Oolite World,1,2,-78,0,832,2329,0,0,0,0,310,522,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,III,Fluorescent World,2,0,-103,0,557,3041,0,0,69,344,0,0,144,0
Alpha Gorno,277.1,14.6,blue,dwarf,IV,Xenolithic World,3,1,-117,0,300,3638,0,0,246,0,0,54,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,V,Carbide World,1,0,-131,0,159,4374,159,0,0,0,0,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,VI,Gas Giant,2,7,-145,0,0,5382,0,0,0,0,0,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,VIa,Oolite World,3,2,-145,178,554,5382,0,0,0,0,470,84,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,VIb,Acid World,1,0,-145,0,215,5382,215,0,0,0,0,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,VII,Halide World,1,0,-160,0,276,6927,0,276,0,0,0,0,0,0
Alpha Gorno,277.1,14.6,blue,dwarf,VIII,Auric World,2,0,-164,0,792,7376,0,0,0,0,0,792,0,0
Zeta Scuti,531.3,15.0,white,dwarf,I,Redux World,1,3,561,0,132,438,0,132,0,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,Ia,Cyanic World,2,3,485,0,78,438,78,0,0,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,Ib,Selenic World,2,3,530,0,69,438,0,0,69,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,II,Emerald World,0,0,80,0,1725,1020,0,0,0,0,0,0,0,1725
Zeta Scuti,531.3,15.0,white,dwarf,III,Ruby World,2,0,-94,0,1700,3957,0,0,0,0,0,0,0,1700
Zeta Scuti,531.3,15.0,white,dwarf,IV,Plutonic World,4,2,-110,12,695,4776,0,0,216,0,295,0,184,0
Zeta Scuti,531.3,15.0,white,dwarf,V,Gas Giant,2,7,-117,0,0,5209,0,0,0,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,Va,Quasi-Degenerate World,2,0,-117,0,925,5209,0,0,0,0,0,0,0,925
Zeta Scuti,531.3,15.0,white,dwarf,Vb,Selenic World,2,0,-117,0,69,5209,0,0,69,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,VI,Gas Giant,0,7,-127,0,0,5973,0,0,0,0,0,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,VIa,Opalescent World,1,0,-127,0,280,5973,28,0,0,92,160,0,0,0
Zeta Scuti,531.3,15.0,white,dwarf,VIb,Oolite World,2,1,-127,0,861,5973,0,0,0,0,675,186,0,0
Zeta Scuti,531.3,15.0,white,dwarf,VIc,Halide World,0,0,-127,0,280,5973,0,216,0,0,0,0,64,0
Epsilon Krueger,26.5,15.6,orange,dwarf,I,Urea World,7,2,-159,0,0,1078,0,0,0,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,II,Copper World,0,1,-200,0,36,2598,0,0,36,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,III,Azure World,2,1,-207,0,150,3228,0,0,150,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,IV,Gas Giant,1,7,-214,0,0,3985,0,0,0,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,IVa,Acid World,3,0,-214,0,363,3985,363,0,0,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,IVb,Crimson World,0,2,-214,12,189,3985,0,12,177,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,IVc,Super-Dense World,6,2,-214,0,105,3985,0,0,105,0,0,0,0,0
Epsilon Krueger,26.5,15.6,orange,dwarf,V,Crimson World,2,1,-228,0,92,6767,0,20,72,0,0,0,0,0
Theta Serpentis,452.9,16.9,blue,dwarf,I,Fluorescent World,4,0,-126,0,1186,4093,0,0,18,376,0,0,792,0
Theta Serpentis,452.9,16.9,blue,dwarf,II,Carbide World,3,0,-148,0,103,5639,103,0,0,0,0,0,0,0
Theta Serpentis,452.9,16.9,blue,dwarf,III,Green World,5,1,-168,0,300,7923,0,0,0,0,300,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,I,Gas Giant,1,7,94,0,0,5117,0,0,0,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,Ia,Radioactive World,0,1,11,0,2024,5117,0,0,0,0,0,0,2024,0
Alpha Serpentis,491.1,18.0,orange,giant,Ib,Green World,2,4,70,0,330,5117,0,0,0,0,330,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,II,Gas Giant,1,7,65,0,0,5723,0,0,0,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,IIa,Infrared World,1,3,78,0,72,5723,0,0,72,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,IIb,Noble World,2,0,1,0,391,5723,43,0,0,348,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,III,Gas Giant,1,7,-60,0,0,7814,0,0,0,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,IIIa,Copper World,2,0,-60,0,51,7814,0,0,51,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,IIIb,Purple World,2,0,-60,0,93,7814,0,0,93,0,0,0,0,0
Alpha Serpentis,491.1,18.0,orange,giant,IIIc,Urea World,5,1,-60,0,89,7814,89,0,0,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,I,Chlorine World,4,0,-133,174,228,719,33,144,51,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,II,Super-Dense World,5,2,-196,0,246,2387,0,0,246,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,III,Selenic World,1,0,-210,0,18,3553,0,0,18,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,IV,Magma World,7,0,-215,0,75,4183,0,0,75,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,V,Radioactive World,1,0,-226,0,1072,6221,0,0,0,0,0,0,1072,0
Delta Serpentis,474.7,22.1,orange,dwarf,VI,Infrared World,3,1,-228,0,0,6989,0,0,0,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,VII,Gas Giant,0,7,-230,0,0,7635,0,0,0,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,VIIa,Urea World,5,1,-230,36,33,7635,33,0,0,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,VIIb,Green World,4,1,-230,0,190,7635,0,0,0,0,190,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,VIIc,Infrared World,3,1,-230,86,180,7635,0,0,180,0,0,0,0,0
Delta Serpentis,474.7,22.1,orange,dwarf,VIId,Copper World,2,0,-230,0,393,7635,0,0,393,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,I,Radioactive World,0,1,23,0,536,1208,0,0,0,0,0,0,536,0
Alcor,970.8,25.0,blue,dwarf,II,Gas Giant,1,7,-55,0,0,1861,0,0,0,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,IIa,Noble World,0,0,-55,0,408,1861,12,0,0,396,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,IIb,Carbide World,3,0,-55,0,122,1861,122,0,0,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,IIc,Ultramarine World,2,2,-55,84,366,1861,0,0,81,120,165,0,0,0
Alcor,970.8,25.0,blue,dwarf,III,Gas Giant,0,7,-85,0,0,2509,0,0,0,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,IIIa,Alkali World,1,1,-85,0,216,2509,0,0,216,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,IV,Auric World,0,1,-106,0,72,3155,0,0,0,0,0,72,0,0
Alcor,970.8,25.0,blue,dwarf,V,Opalescent World,4,0,-143,0,162,5188,35,0,0,52,75,0,0,0
Alcor,970.8,25.0,blue,dwarf,VI,Organic World,3,0,-150,0,91,5827,91,0,0,0,0,0,0,0
Alcor,970.8,25.0,blue,dwarf,VIa,Oolite World,2,1,-150,0,933,5827,0,0,0,0,495,438,0,0
Beta Serpentis,486.1,26.2,white,dwarf,I,Plutonic World,1,2,-119,0,847,5336,0,0,264,0,375,0,208,0
Delta Gorno,290.8,26.9,blue,dwarf,I,Selenic World,2,2,55,0,66,964,0,0,66,0,0,0,0,0
Delta Gorno,290.8,26.9,blue,dwarf,II,Selenic World,2,0,-73,0,57,2194,0,0,57,0,0,0,0,0
Delta Gorno,290.8,26.9,blue,dwarf,III,Selenic World,0,0,-95,0,195,2780,0,0,195,0,0,0,0,0
Delta Gorno,290.8,26.9,blue,dwarf,IV,Metal World,3,2,-107,140,1455,3204,0,98,663,0,0,246,448,0
Delta Gorno,290.8,26.9,blue,dwarf,V,Metal World,2,2,-136,10,634,4691,0,16,618,0,0,0,0,0
Delta Gorno,290.8,26.9,blue,dwarf,VI,Metal World,2,2,-147,0,1072,5513,0,0,684,0,0,60,328,0
Epsilon Ptolemae,185.5,27.0,green,dwarf,I,Alkali World,4,1,-150,0,63,3726,0,0,63,0,0,0,0,0
Beta Trianguli,795.8,27.0,blue,dwarf,I,Yttric World,2,1,-46,42,0,1731,0,0,0,0,0,0,0,0
Delta Scuti,516.0,28.0,yellow,dwarf,I,Iodine World,4,1,-175,140,112,3278,0,70,42,0,0,0,0,0
Delta Scuti,516.0,28.0,yellow,dwarf,Ia,Infrared World,3,2,-175,0,93,3278,0,0,93,0,0,0,0,0
Delta Scuti,516.0,28.0,yellow,dwarf,II,Organic World,4,0,-193,0,127,4964,127,0,0,0,0,0,0,0
Delta Scuti,516.0,28.0,yellow,dwarf,III,Super-Dense World,5,1,-206,0,69,6968,0,0,69,0,0,0,0,0
Delta Krueger,57.0,28.9,green,dwarf,I,Gas Giant,2,7,-58,0,0,1217,0,0,0,0,0,0,0,0
Delta Krueger,57.0,28.9,green,dwarf,Ia,Halide World,0,0,-58,0,148,1217,0,100,0,0,0,0,48,0
Delta Krueger,57.0,28.9,green,dwarf,Ib,Noble World,1,0,-58,0,292,1217,0,0,0,292,0,0,0,0
Delta Krueger,57.0,28.9,green,dwarf,Ic,Treasure World,2,0,-58,0,522,1217,0,0,0,0,0,522,0,0
Delta Krueger,57.0,28.9,green,dwarf,II,Gas Giant,0,7,-92,0,0,1717,0,0,0,0,0,0,0,0
Delta Krueger,57.0,28.9,green,dwarf,III,Cyanic World,0,0,-146,0,79,3482,79,0,0,0,0,0,0,0
Delta Krueger,57.0,28.9,green,dwarf,IV,Iodine World,4,0,-181,84,109,6628,0,88,21,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,I,Water World,3,3,16,78,159,542,0,0,111,0,0,0,48,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,Ia,Azure World,2,3,29,24,90,542,0,0,90,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,II,Primordial World,7,2,-164,16,162,2671,69,0,93,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,IIa,Pellucid World,0,0,-164,0,100,2671,0,0,0,0,0,0,0,100
Gamma Serpentis,492.3,29.4,yellow,dwarf,III,Halide World,2,0,-177,0,272,3421,0,128,0,0,0,0,144,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,IV,Cyanic World,0,0,-196,0,85,5351,85,0,0,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,V,Carbide World,3,0,-201,0,85,6005,85,0,0,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,VI,Redux World,3,0,-203,0,290,6487,0,236,54,0,0,0,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,VII,Telluric World,2,1,-207,84,519,7282,0,0,225,0,0,294,0,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,VIIa,Halide World,0,0,-207,0,246,7282,0,126,0,0,0,0,120,0
Gamma Serpentis,492.3,29.4,yellow,dwarf,VIIb,Opalescent World,2,0,-207,0,94,7282,26,0,0,68,0,0,0,0
Epsilon Gorno,282.0,30.1,green,dwarf,I,Opalescent World,2,0,-164,0,311,4724,25,0,0,96,190,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,I,Water World,2,5,135,308,192,660,0,0,192,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,II,Chlorine World,5,0,-55,0,241,1861,103,120,18,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,III,Carbide World,1,0,-95,0,91,2786,91,0,0,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,IV,Primordial World,7,2,-116,0,443,3544,185,0,258,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,IVa,Carbide World,3,0,-116,0,137,3544,137,0,0,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,V,Azure World,5,1,-144,140,132,5293,0,0,132,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VI,Urea World,6,1,-153,0,36,6065,36,0,0,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VII,Halide World,2,0,-156,0,444,6474,0,188,0,0,0,0,256,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VIII,Gas Giant,1,7,-167,0,0,7809,0,0,0,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VIIIa,Quasi-Degenerate World,4,0,-167,0,0,7809,0,0,0,0,0,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VIIIb,Yttric World,2,0,-167,56,339,7809,0,0,144,0,195,0,0,0
Alpha Trianguli,793.4,31.8,blue,dwarf,VIIIc,Quasi-Degenerate World,4,0,-167,0,1100,7809,0,0,0,0,0,0,0,1100
Alpha Trianguli,793.4,31.8,blue,dwarf,VIIId,Alkali World,2,0,-167,0,246,7809,0,0,246,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,I,Iodine World,4,2,-199,0,101,647,0,62,39,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,Ia,Urea World,4,3,-199,184,25,647,25,0,0,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,II,Urea World,7,2,-236,0,39,2486,39,0,0,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,III,Super-Dense World,5,2,-239,68,108,2914,0,0,108,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,IV,Ruby World,1,0,-244,0,1875,4081,0,0,0,0,0,0,0,1875
Gamma Trianguli,806.2,31.8,red,dwarf,IVa,Ultramarine World,2,2,-244,28,196,4081,0,0,48,108,40,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,V,Pellucid World,0,0,-249,0,50,5980,0,0,0,0,0,0,0,50
Gamma Trianguli,806.2,31.8,red,dwarf,VI,Gas Giant,0,7,-252,0,0,7501,0,0,0,0,0,0,0,0
Gamma Trianguli,806.2,31.8,red,dwarf,VIa,Selenic World,0,0,-252,0,108,7501,0,0,108,0,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,I,Gas Giant,1,7,-52,0,0,1155,0,0,0,0,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,Ia,Treasure World,1,0,-52,0,1476,1155,0,0,0,0,0,1476,0,0
Zeta Giclas,111.6,33.4,green,dwarf,II,Purple World,3,0,-124,0,69,2557,0,0,69,0,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,III,Gas Giant,1,7,-156,0,0,4133,0,0,0,0,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,IIIa,Chondrite World,4,0,-156,0,31,4133,31,0,0,0,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,IIIb,Green World,4,2,-156,0,380,4133,0,0,0,0,380,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,IIIc,Noble World,1,0,-156,0,149,4133,17,0,0,132,0,0,0,0
Zeta Giclas,111.6,33.4,green,dwarf,IV,Purple World,1,0,-186,0,120,7321,0,0,120,0,0,0,0,0
Gamma Giclas,80.3,33.7,yellow,dwarf,I,Gas Giant,2,7,-148,0,0,2015,0,0,0,0,0,0,0,0
Gamma Giclas,80.3,33.7,yellow,dwarf,Ia,Pellucid World,2,0,-148,0,0,2015,0,0,0,0,0,0,0,0
Gamma Giclas,80.3,33.7,yellow,dwarf,II,Opalescent World,1,0,-173,0,231,3158,36,0,0,0,195,0,0,0
Gamma Giclas,80.3,33.7,yellow,dwarf,III,Opalescent World,3,0,-191,0,92,4729,12,0,0,0,80,0,0,0
Zeta Ptolemae,178.7,33.8,green,dwarf,I,Green World,3,5,82,304,150,885,0,0,0,0,150,0,0,0
Zeta Ptolemae,178.7,33.8,green,dwarf,II,Gas Giant,0,7,-105,0,0,1993,0,0,0,0,0,0,0,0
Zeta Ptolemae,178.7,33.8,green,dwarf,IIa,Opalescent World,1,0,-105,0,91,1993,20,0,0,16,55,0,0,0
Zeta Ptolemae,178.7,33.8,green,dwarf,III,Noble World,2,0,-126,0,164,2592,16,0,0,148,0,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,I,Primordial World,7,5,72,0,360,515,69,0,291,0,0,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,II,Metal World,2,2,-125,0,984,1458,0,104,396,0,0,252,232,0
Delta Giclas,87.7,34.0,yellow,dwarf,III,Green World,3,2,-158,0,275,2396,0,0,0,0,275,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,IV,Water World,1,1,-176,0,222,3401,0,0,150,0,0,0,72,0
Delta Giclas,87.7,34.0,yellow,dwarf,V,Purple World,3,0,-185,0,174,4088,0,0,174,0,0,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,VI,Carbide World,1,0,-190,0,72,4565,72,0,0,0,0,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,VII,Super-Dense World,4,2,-196,0,222,5255,0,0,222,0,0,0,0,0
Delta Giclas,87.7,34.0,yellow,dwarf,VIII,Metal World,1,1,-209,32,1037,7652,0,94,615,0,0,120,208,0
Epsilon Scuti,533.8,35.5,white,dwarf,I,Gas Giant,2,7,1003,0,0,853,0,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,Ia,Metal World,2,7,1121,0,904,853,0,44,270,0,0,78,512,0
Epsilon Scuti,533.8,35.5,white,dwarf,II,Lanthanide World,6,1,24,0,820,1698,0,0,0,0,820,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,III,Gas Giant,2,7,68,0,0,2291,0,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,IIIa,Auric World,2,2,6,8,966,2291,0,0,0,0,0,966,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,IIIb,Acid World,3,1,-15,80,155,2291,155,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,IV,Ultraviolet World,5,2,-67,40,1150,2995,87,0,51,0,0,636,376,0
Epsilon Scuti,533.8,35.5,white,dwarf,V,Gas Giant,0,7,-109,0,0,4724,0,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,Va,Treasure World,1,0,-109,0,900,4724,0,0,0,0,0,900,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,Vb,Auric World,1,1,-109,166,1602,4724,0,0,0,0,0,1602,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,Vc,Opalescent World,3,0,-109,0,202,4724,28,0,0,24,150,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,Vd,Metal World,4,2,-109,56,641,4724,0,0,399,0,0,90,152,0
Epsilon Scuti,533.8,35.5,white,dwarf,VI,Gas Giant,0,7,-116,0,0,5142,0,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,VIa,Cyanic World,1,0,-116,0,100,5142,100,0,0,0,0,0,0,0
Epsilon Scuti,533.8,35.5,white,dwarf,VII,Emerald World,1,0,-127,0,925,5946,0,0,0,0,0,0,0,925
Alpha Scuti,503.9,37.3,orange,dwarf,I,Magnetic World,5,0,-221,0,228,5202,0,0,228,0,0,0,0,0
Alpha Scuti,503.9,37.3,orange,dwarf,Ia,Green World,4,2,-221,0,0,5202,0,0,0,0,0,0,0,0
Alpha Scuti,503.9,37.3,orange,dwarf,Ib,Carbide World,3,0,-221,0,99,5202,99,0,0,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,I,Dust World,3,4,843,0,75,1100,0,0,75,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,II,Infrared World,1,6,1245,0,54,1813,0,0,54,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,III,Pellucid World,1,2,336,0,225,2536,0,0,0,0,0,0,0,225
Alpha Giclas,84.3,38.0,orange,giant,IV,Iodine World,5,2,80,220,242,3886,0,116,126,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,V,Gas Giant,0,7,110,0,0,4527,0,0,0,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,VI,Acid World,3,1,11,0,152,5346,152,0,0,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,VII,Gas Giant,0,7,81,0,0,5917,0,0,0,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,VIIa,Alkali World,3,1,30,78,459,5917,0,0,459,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,VIIb,Radioactive World,1,0,-7,24,2304,5917,0,0,0,0,0,0,2304,0
Alpha Giclas,84.3,38.0,orange,giant,VIIc,Urea World,6,3,92,140,101,5917,101,0,0,0,0,0,0,0
Alpha Giclas,84.3,38.0,orange,giant,VIII,Magma World,7,0,-42,0,51,6609,0,0,51,0,0,0,0,0
Epsilon Serpentis,487.2,40.8,red,dwarf,I,Gas Giant,1,7,-236,0,0,2476,0,0,0,0,0,0,0,0
Epsilon Serpentis,487.2,40.8,red,dwarf,II,Pellucid World,1,0,-242,0,75,3509,0,0,0,0,0,0,0,75
Epsilon Serpentis,487.2,40.8,red,dwarf,III,Magma World,6,0,-246,0,153,4652,0,0,153,0,0,0,0,0
Epsilon Serpentis,487.2,40.8,red,dwarf,IV,Ultramarine World,1,2,-247,0,235,5207,0,0,123,112,0,0,0,0
